2024-01-16 20:18:30,962 INFO    StreamThr :55501 [internal.py:wandb_internal():86] W&B internal server running at pid: 55501, started at: 2024-01-16 20:18:30.961612
2024-01-16 20:18:30,964 DEBUG   HandlerThread:55501 [handler.py:handle_request():146] handle_request: status
2024-01-16 20:18:30,966 INFO    WriterThread:55501 [datastore.py:open_for_write():87] open: /Users/ruilu/udacity_repo/exercise-4/wandb/run-20240116_201830-43b9bfur/run-43b9bfur.wandb
2024-01-16 20:18:30,966 DEBUG   SenderThread:55501 [sender.py:send():382] send: header
2024-01-16 20:18:30,995 DEBUG   SenderThread:55501 [sender.py:send():382] send: run
2024-01-16 20:18:31,503 INFO    SenderThread:55501 [dir_watcher.py:__init__():211] watching files in: /Users/ruilu/udacity_repo/exercise-4/wandb/run-20240116_201830-43b9bfur/files
2024-01-16 20:18:31,503 INFO    SenderThread:55501 [sender.py:_start_run_threads():1136] run started: 43b9bfur with start time 1705454310.961296
2024-01-16 20:18:31,511 DEBUG   HandlerThread:55501 [handler.py:handle_request():146] handle_request: check_version
2024-01-16 20:18:31,511 DEBUG   SenderThread:55501 [sender.py:send_request():409] send_request: check_version
2024-01-16 20:18:31,654 DEBUG   HandlerThread:55501 [handler.py:handle_request():146] handle_request: run_start
2024-01-16 20:18:31,675 DEBUG   HandlerThread:55501 [system_info.py:__init__():27] System info init
2024-01-16 20:18:31,675 DEBUG   HandlerThread:55501 [system_info.py:__init__():42] System info init done
2024-01-16 20:18:31,675 INFO    HandlerThread:55501 [system_monitor.py:start():194] Starting system monitor
2024-01-16 20:18:31,675 INFO    SystemMonitor:55501 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-16 20:18:31,676 INFO    HandlerThread:55501 [system_monitor.py:probe():214] Collecting system info
2024-01-16 20:18:31,676 DEBUG   HandlerThread:55501 [system_info.py:probe():151] Probing system
2024-01-16 20:18:31,677 INFO    SystemMonitor:55501 [interfaces.py:start():190] Started cpu monitoring
2024-01-16 20:18:31,677 INFO    SystemMonitor:55501 [interfaces.py:start():190] Started disk monitoring
2024-01-16 20:18:31,679 INFO    SystemMonitor:55501 [interfaces.py:start():190] Started memory monitoring
2024-01-16 20:18:31,688 INFO    SystemMonitor:55501 [interfaces.py:start():190] Started network monitoring
2024-01-16 20:18:31,696 DEBUG   HandlerThread:55501 [system_info.py:_probe_git():136] Probing git
2024-01-16 20:18:31,748 DEBUG   HandlerThread:55501 [system_info.py:_probe_git():144] Probing git done
2024-01-16 20:18:31,749 DEBUG   HandlerThread:55501 [system_info.py:probe():199] Probing system done
